,artist,link,song,text,cluster
0,Britney Spears,/b/britney+spears/3_20853253.html,3,"One, two, three  Not only you and me  Got one eighty degrees  And I'm caught in between  Countin'  One, two, three  Peter, Paul and Mary  Gettin' down with 3P  Everybody loves me  Oh    Babe, pick a night  To come out and play  If it's alright  What do you say?    Merrier the more  Triple fun that way  Twister on the floor  What do you say?    Are you in  Livin' in sin is the new thing (yeah)  Are, you in  I am countin'    One, two, three  Not only you and me  Got one eighty degrees  And I'm caught in between  Countin'  One, two, three  Peter, Paul and Mary  Gettin' down with 3P  Everybody loves me  Oh    One, two, three  Not only you and me  Got one eighty degrees  And I'm caught in between  Countin'  One, two, three  Peter, Paul and Mary  Gettin' down with 3P  Everybody loves me  Oh    Three is a charm  Two is not the same  I don't see the harm  So are you game?    Lets' make a team  Make 'em say my name  Lovin' the extreme  Now are you game?    Are, you in  Livin' in sin is the new thing  Are, you in  I am countin'    One, two, three  Not only you and me  Got one eighty degrees  And I'm caught in between  Countin'  One, two, three  Peter, Paul and Mary  Gettin' down with 3P  Everybody loves me    One, two, three  Not only you and me  Got one eighty degrees  And I'm caught in between  Countin'  One, two, three  Peter, Paul and Mary  Gettin' down with 3P  Everybody loves me    What we do is innocent  Just for fun and nothin' meant  If you don't like the company  Let's just do it you and me  You and me  Or three  Or four  On the floor!    One, two, three  Not only you and me  Got one eighty degrees  And I'm caught in between  Countin'  One, two, three  Peter, Paul and Mary  Gettin' down with 3P  Everybody loves me  Oh    One, two, three  Not only you and me  Got one eighty degrees  And I'm caught in between  Countin'  One, two, three  Peter, Paul and Mary  Gettin' down with 3P  Everybody loves me  Oh",
1,Britney Spears,/b/britney+spears/am+i+a+sinner_20897704.html,Am I A Sinner,Keep telling myself  Get out of my mind  The way it feels  It feels so right    And every night  I feel the heat  Close my eyes  And it comes to me    I confess if I've done it wrong  But in your eyes I see I'm guilty  I'm guilty    The stress that keeps me strong  I feel as though  My heart is empty  Cause you're not with me    In my secret place  Where I drift away    Tell me am I a sinner?  Tell me am I wrong?  Something is wrong with the picture  This is not my fault  So am I a sinner?  Am I a sinner?    Don't watch the truth unfold  Please don't try to see right through me  When you touch me    You will never know  Imagination starts to haunt me  It controls me In my secret place  Where I drift away    Tell me am I a sinner?  Tell me am I wrong?  Something is wrong with the picture  This is not my fault  So am I a sinner?  Am I a sinner?    Am I a sinner?  Am I a sinner?  Just tell me  Am I a sinner?    Tell me am I a sinner?  Tell me am I wrong?  Something is wrong with the picture  This is not my fault  So am I a sinner?    Tell me am I a sinner?  Tell me am I wrong?  Something is wrong with the picture  This is not my fault  So am I a sinner?  Am I a sinner?    Am I a sinner  Am I a sinner  Am I a sinner  Just tell me  Am I a sinner,
2,Britney Spears,/b/britney+spears/anticipating_20024618.html,Anticipating,"Top down on the strip, looking in the mirror  And I'm checking out my lipstick  Girlfriends up in the back  We're out for a ride all night    Feelin' so crazy cool, bop so righ  Wonder what they're waiting for  Valet baby here's the keys  We're about to step inside    Skip on the drinks head to the floor  Making my way and that's for sure  My body's takin' over and I want some more  Woah Yeah Yeah    [Chorus]  I've been anticipating  This is our song they're playing  I want to rock with you  You're feeling this right let's do this tonight(Yeah yeah)    Step up baby don't be shy I know you're feeling me 'cause you're giving me theeye and I-  Don't wanny play around  Baby watch me move  Check this let's make a scene    Don't leave me waiting alone  Why you want to make it long playeing?  Move it baby over here so we can set it on    We can get down to the DJ sound  Feelin' so good baby all around  Feel it comin', got to come and get me now  (Woah yeah)    [Chorus]    [Bridge]  Gotta really let me know if you want me  You gotta turn me on and make me feel sexy  You gotta show me you've got everything that I need x2    [Chorus]    [Bridge]",1
3,Britney Spears,/b/britney+spears/autumn+goodbye_20024645.html,Autumn Goodbye,"[Chorus]  I never promised you a happy ending  You never said you wouldn't make me cry  But summer love will keep us warm long after  Our autumn goodbye, autumn goodbye, autumn goodbye.    Thinking of you  And the love of our lives  In the sweet summertime  so sad but true (so true, so true)  We must leave it behind in our heart in our mind.  From April through September  Bittersweet was the love that we shared don't forget I remember    [Chorus:Repeat x2]    Memories can make (they can make)  But my heart has a place for the smile on your face  And maybe someday (someday)  We can be more than friends love will find us again.  Red leaves and blue tomorrows  Time will give back the love that we shared on the time that we borrowed    [Chorus:Repeat x2]    From April through September  Bittersweet was the love that we shared don't forget I remember    [Chorus:Repeat x2]    We leave behind, the sum my time, our hearts our minds  They will remind, we won't forget  The day we met  The day we cried ooh  Autumn goodbye    [Chorus]",1
4,Britney Spears,/b/britney+spears/better_21110781.html,Better,"[Verse 1]  Let's undo all the distance  From your guards down to your buttons  And get lost in your existence  What you, what you, what you wanna do?  And if you wanna get real  And if you wanna get honest  Then baby you know the deal  What you wanna do?    [Chorus]  Gotta open up cause it feels much better  When we open up for each other  And I know  Oh, oh, oh, oh, oh, oh  When you know somebody  Oh, oh, oh, oh, oh, oh  And they know your body  It's so much better  [Verse 2]  Show me what's under your t-shirt  And bare it like it's your first time  You take it off like you never  Like you've never been hurt    [Chorus]  Open up (open up) cause it feels much better (much better)  When we open up (open up) for each other (for each other)  And I know  Oh, oh, oh, oh, oh, oh  When you know somebody  Oh, oh, oh, oh, oh, oh  And they know your body  It's so much better    [Bridge]  So good, so good, so damn, so good  So damn, so good, so right, so good (yeah)  So good, so good, so damn, so good  So damn, so good, so right, so good  When you know somebody, when you know somebody  When you know somebody, when you know somebody  When you know    [Chorus]  Oh, oh, oh, (oh-oh) oh, oh, oh (oh-oh)  When you know somebody  Oh, oh, oh, (oh-oh) oh, oh, oh (oh-oh)  And they know your body  Oh, oh, oh, (oh-oh) oh, oh, oh (oh-oh)  When you know somebody  Oh, oh, oh, (oh-oh) oh, oh, oh (oh-oh)  And they know your body    [Outro]  Oh, get to know my body  Better and better  Better and better  Damn  It's so much better",1
5,Britney Spears,/b/britney+spears/brave+new+girl_10050538.html,Brave New Girl,"She's gonna pack her bags  She's gonna find her way  She's gonna get right out of this  She don't want New York  She don't want L.A.    She's gonna find that special kiss  She don't want no sleep  She don't want no high  Oh, like peaches 'n' cream    She's gonna wish on stars and touch the sky  Ah, you know what I mean    She wants a good time  No need to rewind  She needs to really really find what she wants  She lands on both feet  Won't take a back seat  There's a brave new girl  And she's comin' out tonight    She's gonna step outside  Uncover her eyes  Who knew she could feel so alive  Her M.O.'s changed  She don't wanna behave  Ain't it good to be a brave girl tonight    Tonight, it's alright  A brave girl tonight    So she met this man  He was kinda rough  He said, girl, what you lookin' for  She said, I don't know    I go with the flow  He said, let's get on the floor  He said, you look real cute with your low ride jeans  And your pink little baby tee    Let's get a room, girl  Come and ride with me    She wants a good time  No need to rewind  She needs to really really find what she wants  She lands on both feet    Won't take a back seat  There's a brave new girl  And she's coming out tonight    She's gonna step outside  Uncover her eyes  Who knew she could feel so alive  Her M.O.'s changed  She don't wanna behave  Ain't it good to be a brave girl tonight    Tonight, it's alright  A brave girl tonight  Tonight, it's alright  A brave new girl tonight    Keep on    She's gonna step outside  Uncover her eyes  Who knew she could feel so alive  Her M.O.'s changed    She don't wanna behave  Ain't it good to be a brave girl tonight  Tonight it's alright  A brave girl tonight    Tonight, it's alright  A brave girl tonight  A brave girl tonight  A brave girl tonight",1
6,Britney Spears,/b/britney+spears/break+the+ice_20658113.html,Break The Ice,"It's been a while  I know I shouldn't have kept you waiting  But I'm here now    I know it's been a while  But I'm glad you came  And I've been thinking 'bout  How you say my name  Got my body spinning  Like a hurricane  And it feels like  You got me going insane  And I can't get enough  So let me get it up    Ooh, looks like we're alone now  You ain't gotta be scared  Where you going now?  I'm a have to floss on you  Let's get it blazin'  We can turn the heat up if you wanna  Turn the lights down low if you wanna  Just wanna move you  But you're frozen  That's what I'm saying    Let me break the ice  Allow me to get you right  But you warm up to me  Baby I can make you feel  Let me break the ice  Allow me to get you right  But you warm up to me  Baby I can make you feel    So you warming up yet?    You got me hypnotized  I never felt this way  My heart's beating like an 808  Can you rise to the occasion?  I'm patiently waiting  Cause it's getting late  And I can't get enough  So let me get it up    Ooh, looks like we're alone now  You ain't gotta be scared  Where you going now?  I'm a have to floss on you  Let's get it blazin'  We can turn the heat up if you wanna  Turn the lights down low if you wanna  Just wanna move you  But you're frozen  That's what I'm saying    Let me break the ice  Allow me to get you right  But you warm up to me  Baby I can make you feel  Let me break the ice  Allow me to get you right  But you warm up to me  Baby I can make you feel    I like this part  Feels kinda good  Yeah    Let me break the ice  Allow me to get you right  But you warm up to me  Baby I can make you feel  Let me break the ice  Allow me to get you right  But you warm up to me  Baby I can make you feel  Hot (more)    Let me break the ice  Allow me to get you right  But you warm up to me  Baby I can make you feel  Let me break the ice  Allow me to get you right  But you warm up to me  Baby I can make you feel  Hot (more)",1
7,Britney Spears,/b/britney+spears/burning+up_20914499.html,Burning Up,"I'm on fire!    Don't put me off 'cause I'm on fire  And I can't quench my desire  Don't you know that I'm burning up for your love  You're not convinced that that is enough.  I put myself in this position  And I deserve the imposition  But you don't even know I'm alive  And this pounding in my heart just won't die  I'm burning up!    Chorus:  I'm burning up, burning up for your love  I'm burning up, burning up for your love  I'm burning up, burning up for your love  For your love!    You're always closing your door,  Well that only makes me want you more.  And day and night I cry for your love,  You're not convinced that that is enough.  To justify my wanting you,  Now tell me what you want me to do  I'm not blind and I know  That you want to want me but you can't let go  Come on, let go!    [Chorus]    Oh, do you wanna see me down on my knees?  Or bending over backwards now would you be pleased?  Unlike the others I'd do anything  I'm not the same, I have no shame.  I'm on fire!    I'm on fire!    Come on, let go!    Do you wanna see me down on my knees?  Or bending over backwards now would you be pleased?  Unlike the others I'd do anything  I'm not the same, I have no shame.  I'm on fire!    [Burning up for your love] c'mon c'mon  Ooo, yeah, I'm burning up [burning up for your love]  Ooo, yeah, I'm burning up [burning up for your love]  Come on, come on, I'm burning up [burning up for your love]    Uh, uh, uh, I'm burning up [burning up for your love]  Ooo, yeah, I'm burning up [burning up for your love]  Come on, come on, I'm burning up [burning up for your love]  Ooo, yeah, I'm burning up [burning up for your love]  Uh, uh, uh [burning up for your love]    You know you got me burning up, baby [burning up for your love]  You know you got me burning up, baby [burning up for your love]    Burning up for your love [burning up for your love]  Burning up for your love [burning up for your love]",1
8,Britney Spears,/b/britney+spears/connected_20983229.html,Connected,It's never right or wrong with you and me  We're pure unconscious energy  And I freeze as your charging through my mind  That's what it's like with you and me  (Were?)    Then the spark ignites again  And I'm electric  Cause you and I were connected  And then the stadium lights go on  And we get hectic  Cause you and I were connected    To the light that shines in our eyes  To the beat that's running our lives  To the sound that's bringing us back again  (Repeat)    And I know you in and out and you know me  There's not a thing you got to be  And I see how your glowing from inside  That's what it's like with you and me  (Were?)    Then the spark ignites again  And I'm electric  Cause you and I were connected  And then the stadium lights go on  And we get hectic  Cause you and I were connected    To the light that shines in our eyes  To the beat that's running our lives  To the sound that's bringing us back again  (Repeat 2x),0
9,Britney Spears,/b/britney+spears/conscious_21094154.html,Conscious,"Get with this  I'll take you, boy  I'll make you, yeah    My fingertips  Against your lips  I'll move my hips    Come with me tonight  Alright, alright  I don't really wanna be pushy  But you got me feeling lovely tonight, tonight  I don't really wanna be pushy  But you got me feeling lovely tonight, tonight    You are my conscious  Forsake you, I won't  You are my conscious  Forsake you, I won't, I won't  You are my promise  Don't break me apart, ever, ever  I don't wanna be alone  So come with me tonight    Tongight, come with me, yeah    Undressing me  With your eyes and  Butterflies come and    Don't hesitate  Just do your thing  Baby, don't be lame    Come with me tonight  Alright, alright  I don't really wanna be pushy  But you got me feeling lovely tonight, tonight  I don't really wanna be pushy  But you got me feeling lovely tonight, tonight    You are my conscious  Forsake you, I won't, I won't  You are my promise  Don't break me apart, ever, ever  I don't wanna be alone  So come with me tonight",1
